Company,Job,Location,Salary
Center for Cancer Research,"Chief, Cancer Data Science Laboratory","Bethesda, MD",0
Decypher Technologies,Research Protocol Specialist,"Bethesda, MD",0
Northrop Grumman,Metadata Scientist 2/3,"McLean, VA",0
National Cancer Institute,"Chief, Cancer Data Science Laboratory - Tenure Eligible Posi...","Bethesda, MD",0
The Johns Hopkins Applied Physics Laboratory,Applied Mathematician/Physicist (Analytic Modeling and Data...,"Laurel, MD",0
"Eastern Research Group, Inc.",Entry-Level Environmental/IT Analyst,"Chantilly, VA 20151",0
World Wildlife Fund,Global Science Leaders - 17025,"Washington, DC 20037 (Foggy Bottom area)",0
Children's National Medical Center,Development Coordinator Major Gifts,"Silver Spring, MD 20904",0
National Opinion Research Center (NORC),Principal Research Analyst - Health Care,"Bethesda, MD",0
Battelle,Principal Research Scientist,"Alexandria, VA 22303",0
Advanced Resource Technologies Inc,Oceanographic Data Analyst II - Hydrographic / Spatial Data...,"Silver Spring, MD",0
xentity corporation,Geospatial Architect,"Washington, DC",0
Advanced Bioscience Laboratories,Sr. Scientist: Upstream Process Development,"Rockville, MD 20850",0
MacroGenics,Scientist I or Assoc Scientist II-Antibody Eng,"Rockville, MD 20850",0
American Diabetes Association,Senior Research Analyst,"Alexandria, VA",0
FCi Federal,Mail Analyst/Statistician,"Sterling, VA",0
Booz Allen Hamilton,Staff Life Scientist,"McLean, VA",0
Social & Scientific Systems Inc.,Principal Research Scientist - Evaluation,"Silver Spring, MD 20910",0
The Advisory Board Company,"Analyst, EAB Strategic Research","Washington, DC",0
Management Sciences for Health,Spring No More Epidemics Campaign Internship,"Arlington, VA 22203 (Bluemont area)",0
Oak Ridge Associated Universities,OTC Drug Monograph Regulatory Analysis Fellowship - CDER,"Silver Spring, MD",0
WESTAT,Survey Sampling Statistician,"Rockville, MD 20850",0
Booz Allen Hamilton,"Spectral Research Scientist, Lead","Springfield, VA",0
IC-CAP,SIGINT Research Analyst,"College Park, MD",0
MedImmune,"Scientist I/Scientist II, Antibody Drug Conjugate/Bio-conjug...","Gaithersburg, MD 20878",0
ByteCubed,Senior Data Scientist - Machine Learning,"Arlington, VA",0
AstraZeneca,Clinical Scientist,"Gaithersburg, MD",0
American Association For the Advancement of Scienc...,Scientific Illustrator,"Washington, DC",0
Booz Allen Hamilton,"Operations Research Analyst, Senior","Arlington, VA",0
Mitre Corporation,Big Data Software/Systems Engineer,"McLean, VA",0
National Security Agency,Data Scientist,"Fort George G Meade, MD","$65,572 - $84,611 a year"
Novel Applications of Vital Information,Research Analyst,"Vienna, VA",0
comScore,Sr Statistical Anaylst,"Reston, VA",0
"Incept Data Solutions, Inc",Material Engineer (Fibers)/Scientist/Fabric Engg/DoD 5000.02...,"Fort Belvoir, VA",0
Scientific Research Corporation,Fiancial Analyst,"Arlington, VA 22202 (Aurora Highlands area)",0
DDL OMNI Engineering,Senior Operations Research Analyst,"Washington, DC",0
KPMG,Data Visualization Software Engineer,"Washington, DC 20036 (Downtown area)",0
EXCELLENCE CONSULTING,Scientific Analyst - Satellite Radiation,"College Park, MD",0
Alqimi,All Source Analyst,"Washington, DC",0
Ukpeagvik Iñupiat Corporation/Bowhead Family of Co...,Statistician,"Washington, DC",0
Leidos,Scientific Information Analyst,"Bethesda, MD 20813",0
Penn Schoen Berland,Market Research Senior Analyst,"Washington, DC",0
BCS Inc,Research Analyst-Energy,"Washington, DC",0
Booz Allen Hamilton,"Machine Learning Technology Consultant, Mid","Arlington, VA",0
Schafer Corporation,Operations Research Analyst,"Washington, DC",0
Vencore,Data Engineer SME,"McLean, VA",0
"Aledade, Inc.",Research Analyst,"Bethesda, MD",0
Scientific Research Corporation,FMS Fiancial Analyst,"Arlington, VA 22202 (Aurora Highlands area)",0
Merck KGaA,Associate Scientist - In Vivo Biologics,"Rockville, MD",0
AIR Worldwide,"Senior/Principal Scientist, Tropical Cyclone","Washington, DC",0
GEICO,Statistical/Budget Analyst,"Chevy Chase, MD",0
Engility Corporation,Research Scientist,"McLean, VA",0
AstraZeneca,Principal Scientist,"Gaithersburg, MD",0
Prince George's Community College,"Research Analyst, Institutional Research and Reporting","Largo, MD","$63,863 a year"
"The Upside Travel Company, LLC","Vice President, Customer Acquisition","Washington, DC",0
KGS,Research Analyst,"Fairfax, VA 22031",0
ECS Federal LLC,Junior Operations Research Analyst,"Washington, DC",0
DECISIVE ANALYTICS Corporation,Machine Learning Software Engineer Internship,"Arlington, VA 22202 (Aurora Highlands area)",0
The Brookings Institution,"Research Analyst, The Hutchins Center on Fiscal and Monetary...","Washington, DC",0
ManTech International Corporation,T&E Statistician/Specialist,"Washington, DC",0
"MERP Systems, Inc.",Applied Statistician,"Herndon, VA",0
The George Washington University Hospital,"Manager, Data Analysis Quality Assurance","Washington, DC 20037 (Foggy Bottom area)",0
Hilton Corporate,"HR Data Scientist Manager, People Analytics","McLean, VA",0
Invincea,Cyber Research Scientist,"Arlington, VA",0
Engility Corporation,Jr. Operations Research/Data Analyst,"McLean, VA",0
"Onyx Government Services, LLC",Statistician,"Vienna, VA",0
ICF,Greenhouse Gas Mitigation and Sustainability Associate,"Washington, DC",0
AstraZeneca,Senior Statistician,"Gaithersburg, MD",0
Engility Corporation,Project Officer/Research Analyst,"Fort Belvoir, VA 22060",0
National Science Foundation,Program Directors,"Arlington, VA",0
Pivotal Software,Product Manager (Pivotal Labs),"Washington, DC",0
Social & Scientific Systems Inc.,Principal Research Scientist - Medicare Payments,"Silver Spring, MD 20910",0
The Advisory Board Company,"Analyst, International Health Care Strategic Research","Washington, DC",0
"Washington, DC",Statistical/Budget Analyst,"Washington, DC",0
Leidos,Research Scientist IV,"McLean, VA",0
Advanced Bioscience Laboratories,Sr. Scientist: Downstream Process Development,"Rockville, MD 20850",0
"Truven Health Analytics, Inc. & Simpler Consulting",Research Analyst I,"Bethesda, MD 20814",0
U.S. Department of Labor,Research Statistician,"Washington, DC","$77,490 - $119,794 a year"
The Aerospace Corporation,Senior Data Scientist to Support NASA HQ,"Crystal City, VA",0
"Sahana, LLC",Bioinformatics Scientist,"Bethesda, MD 20814",0
Striker Pierce LLC,Research Analyst,"Washington, DC","$36,000 a year"
Merck KGaA,Associate Scientist II,"Rockville, MD",0
"Quadrint, Inc.",ETL Developer,"Springfield, VA",0
The Henry M. Jackson Foundation for the Advancemen...,Scientist,"Bethesda, MD",0
EMD,"Assoc, Scientific 1","Rockville, MD",0
Praxis Engineering,Sr Data Scientist,"Reston, VA",0
Barone Consulting,Computer Vision Scientist,"Springfield, VA",0
The National Center for Advancing Translational Sc...,Scientist,"Rockville, MD",0
SiloSmashers,Research Analyst - Acquisitions,"Washington, DC",0
Evidera,"Senior Statistician - Modeling & Simulation – Bethesda, MD","Bethesda, MD",0
"Tygart Technology, Inc.",Data Scientist,"Washington, DC","$140,000 a year"
Knowledge Link,Senior Data Scientist (TS/SCI with Polygraph REQUIRED),"Chantilly, VA",0
Merito Group,Quantitative Research Analyst,"Reston, VA 20191",0
SDL Government,MT / NLP / Data Analytics Technologist,"Herndon, VA",0
DataRobot,Federal - Customer Facing Data Scientist,"Washington, DC",0
"Sotera Defense Solutions, Inc.","Research Scientist, Senior","Washington, DC",0
Mid-Atlantic Permanente Medical Group,Senior Research Scientist,"Rockville, MD",0
Ashton Lane Group,Quantitative Analyst Model Validation,"Washington, DC",0
Facebook,Counterterrorism Research Analyst,"Washington, DC",0
Latinum Network,"Analyst, Research Operations & Technology","Bethesda, MD",0
Systems Planning and Analysis,Operations Research Analyst (JTAAD/SPAG),"Alexandria, VA 22311 (Alexandria Wrest area)",0
Medix,Process Development Associate,"Rockville, MD",0
Cardinal Consulting Group,Data Architect,"Washington, DC","$65,000 a year"
Booz Allen Hamilton,Human Language Translation Research Analyst,"College Park, MD 20740",0
Institute for Defense Analyses,Research Analyst - Space Systems,"Alexandria, VA 22311 (Alexandria Wrest area)",0
Vencore,Operations Research Analyst Technical Specialist,"Silver Spring, MD",0
National Cancer Institue,Post Doctoral Position,"Bethesda, MD",0
Intelligent Automation,Research Scientist - Computational Fluid Dynamics (CFD),"Rockville, MD 20855",0
SESDA,Instrument Engineer,"Bethesda, MD",0
Wyle Laboratories,Human Resources SME,"Anacostia, DC",0
Booz Allen Hamilton,"Research Image Scientist, Senior","Springfield, VA",0
CNA Corp.,Research Analyst - (Part-time),"Arlington, VA 22201 (Lyon Village area)",0
Southwest Research Institute,"RESEARCH ANALYST – SOFTWARE DEVELOPMENT -WASHINGTON, D.C.","Washington, DC",0
Logistics Management Institute,Research Analyst - Logistics,"Arlington, VA",0
Capital One,Sr. Data Analysis Manager,"McLean, VA",0
ASRC Federal,Information Technology Specialist,"Greenbelt, MD",0
CEB,Research Analyst- Campus Recruiting- May 2017 Undergraduates,"Washington, DC",0
Engility Corporation,Data Manager,"Chantilly, VA 20151",0
Merck KGaA,"Assoc, Scientific 1","Rockville, MD",0
Columbus Technologies and Services,Scientific Program Analyst,"Bethesda, MD",0
Bennett Aerospace Inc.,Mathematician / Statistician,"Arlington, VA",0
The Henry M. Jackson Foundation for the Advancemen...,Research Analyst,"Bethesda, MD",0
AstraZeneca,"Scientist I/Scientist II, Antibody Drug Conjugate/Bio-conjug...","Gaithersburg, MD",0
Synchronoss,Quality Assurance Analyst,"Reston, VA",0
ICF,Autonomy/IDOL Specialist,"Fairfax, VA",0
The Smithers Group,Research Scientist II,"Gaithersburg, MD",0
George Washington University,Research Scientist,"Ashburn, VA 20147",0
ICF,Technical Business Analyst,"Washington, DC",0
American Diabetes Association,"Data Manager/Analyst, Outcomes Research","Alexandria, VA",0
AstraZeneca,"Scientist II, Analytical Science -- (Gaithersburg, MD)","Gaithersburg, MD",0
Vencore,Statistician IV,"McLean, VA",0
Dexis Consulting Group,Data Research Analyst,"Washington, DC",0
ECS Federal LLC,Mathematician / Statistician,"Arlington, VA",0
Latitude Inc.,Sr. Data Scientist(Big Data),"McLean, VA",0
Arch Capital Group Ltd.,"Sr Manager/Director, Data Scientist","Washington, DC",0
Management Sciences for Health,Senior Data Scientist & Analytics Developer,"Arlington, VA 22203 (Bluemont area)",0
"ADNET Systems, Inc.",Earth Data Support Scientist - GD100,"Greenbelt, MD 20770","$75,000 a year"
Police Foundation,Data Management & Analytics Tech,"Washington, DC 20036 (Downtown area)",0
T3 Trading Group LLC,Statistical Pairs Trading Positions,"Washington, DC",0
Aptima,Data Scientist (Senior) (VA),"Arlington, VA",0
Truth Initiative,Data Scientist,"Washington, DC 20001 (Shaw area)",0
ICF,Production Specialist,"Rockville, MD",0
Vencore,Predictive Modeling Analyst I,"Bethesda, MD",0
National Opinion Research Center (NORC),Research Analyst - Health Sciences,"Bethesda, MD",0
The Henry M. Jackson Foundation for the Advancemen...,Research Associate II,"Rockville, MD",0
Cushman & Wakefield,VA Research Analyst,"Washington, DC",0
General Dynamics Information Technology,Sr Scientist - Animal Model,"Silver Spring, MD",0
GEICO,"Competitive Intelligence Analyst - Business Analyst, Researc...","Chevy Chase, MD",0
GEICO,Lead Data Scientist,"Washington, DC",0
Barbaricum,Project Research Analyst – DTRA,"Washington, DC",0
Hanover Research,"Research Analyst, Quantitative Research- Market Research","Arlington, VA 22203 (Bluemont area)",0
Centra Technology,Research Analyst/Targeter,"Washington, DC",0
GEICO,"Modeling Analyst - Data Mining, Statistical Analysis and Dec...","Chevy Chase, MD",0
All-In Analytics,Market Risk Data Scientist,"Washington, DC","$80,000 - $100,000 a year"
George Washington University,Machine Learning/Data Mining Adjunct Professor,"Washington, DC",0
National Center for Complementary and Integrative...,Staff Scientist Position in Neuroimaging Methods and Analysi...,"Bethesda, MD",0
New America,Spring 2017- Communications Intern (Paid or for credit),"Washington, DC 20005 (Logan Circle area)",0
Wiser,Intelligence Analyst,"Springfield, VA",0
Mathematica Policy Research,Human Services Research Analyst for Evidence-Based Technical...,"Washington, DC 20024 (South West area)",0
"Science System and Applications, Inc.",Scientific Programmer/Analyst to Support Aerosol Remote Sens...,"Greenbelt, MD",0
The Henry M. Jackson Foundation for the Advancemen...,Research Assistant II (212017),"Silver Spring, MD",0
ICF,Management Analyst - DHS,"Washington, DC",0
Elite Technical Services,Data Architect and Engineering with Security Clearance,"Bolling AFB, DC","$120,000 - $190,000 a year"
Trout Unlimited,Operational Data Analyst,"Arlington, VA",0
ICF,Security Access Management Specialist,"Arlington, VA",0
Clarus Group,Senior Data Scientist,"Washington, DC",0
Virginia Cancer Specialists,Research Financial Analyst,"Fairfax, VA",0
EMD,Scientific Studies Report Writer - Entry level,"Rockville, MD",0
BAE Systems,Research Scientist,"Arlington, VA",0
Coverent,Data Engineer,"Reston, VA",0
National Academy for State Health Policy (Washingt...,Research Analyst - Child & Family Policy Team,"Washington, DC",0
Evidera,"Research Scientist - Meta Research - Bethesda, MD","Bethesda, MD",0
Oak Ridge Associated Universities,Clinical Trial Data Transformation & Integration Fellowship...,"Silver Spring, MD",0
QIAGEN,Scientist I,"Germantown, MD",0
Special Counsel,Research and Business Intelligence Analyst,"Washington, DC 20005 (Logan Circle area)",0
USM Business Systems,Remote position: Principle Data Engineer,"Bethesda, MD",0
AstraZeneca,"Scientist I, Biophysics","Gaithersburg, MD",0
Intelligent Automation,Research Scientist - Cyber Security,"Rockville, MD 20855",0
GlaxoSmithKline,"Investigator,Computational Scientist/Engineer,TSci","Washington, DC 20005 (Logan Circle area)",0
Fractal Industries,Data Analytics Engineer - Cyber,"Reston, VA",0
Fractal Industries,Data Analytics Engineer,"Reston, VA",0
CNA Corp.,Research Analyst,"Arlington, VA 22201 (Lyon Village area)",0
Optimal Solutions Group LLC,Research Analyst III,"College Park, MD",0
Hanover Research,Senior Research Analyst -- Education Market Research,"Arlington, VA 22203 (Bluemont area)",0
American Geophysical Union,"Assistant Director, Content and Analysis","Washington, DC 20009 (U Street Corridor area)",0
Institute for Defense Analyses,Research Analyst – Intelligence Analyses Division,"Alexandria, VA 22311 (Alexandria Wrest area)",0
Accenture,Federal - Analytics Manager,"Arlington, VA",0
2M Research Services,Qualitative Research Analyst,"Washington, DC 20006 (Foggy Bottom area)",0
Universities Space Research Association,Research Scientist,"Greenbelt, MD",0
Addx,Journeyman Operations Research Analyst,"Washington, DC",0
"Alaire Technologies, Inc",Computer Scientist/Engineer,"Lorton, VA 22079",0
2M Research Services,Social Science Research Analyst,"Washington, DC 20006 (Foggy Bottom area)",0
KPMG,Sr Associate - Data Scientist,"Washington, DC 20036 (Downtown area)",0
Global Solutions Network,Fellowship Program Analyst,"Washington, DC",0
Booz Allen Hamilton,Defense Research Analyst,"Washington, DC",0
USAC,"Program Analyst, Data Analysis","Washington, DC",0
Booz Allen Hamilton,Operations Research Analyst,"Washington, DC",0
Hilton Corporate,"Sr. Analyst, Data Analytics","McLean, VA",0
Lockheed Martin,Machine Learning and Data Analytics Research Researcher,"Arlington, VA",0
Capital One,Machine Learning Data Engineer,"Vienna, VA",0
Salient CRGT,Data Analyst 4 (Statistician),"Washington, DC",0
CRGT Inc.,Data Analyst 4 (Statistician),"Washington, DC",0
Govini,Analyst,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",0
Walmart,Statistical Analyst Data Analytics-ISD,"Reston, VA",0
"Big Sky Associates, Inc.",Part Time Internship: Data Analysis,"Washington, DC",0
Arch Capital Group Ltd.,"Sr Analyst, Data Scientist","Washington, DC",0
CACI,Counter-WMD Biological Engineer/Scientist,"Reston, VA 20191",0
GlaxoSmithKline,"Computational Scientist/Engineer,TSci","Washington, DC 20005 (Logan Circle area)",0
Wiser,Image Scientist,"Springfield, VA",0
Ipsos North America,USPA - Associate Research Scientist,"Washington, DC",0
The Advisory Board Company,"Analyst, K-12 EAB Strategic Research","Washington, DC",0
Choice Hotels,"Sr. Analyst, Market Research & Information","Rockville, MD",0
Applied Communication Sciences,Associate Research Scientist,"College Park, MD",0
Qbase,SENIOR DATA ANALYST,"Reston, VA",0
The Henry M. Jackson Foundation for the Advancemen...,Research Data Analyst,"Rockville, MD",0
"Kroll Associates, Inc.",Analyst (English Language research),"Washington, DC 20037 (Foggy Bottom area)",0
The Tauri Group,: Chemical Defense Pharmaceuticals Senior Scientist (Bioengi...,"Alexandria, VA",0
Systems Planning and Analysis,Operations Research Analyst (JTAAD/OSAG),"Alexandria, VA 22311 (Alexandria Wrest area)",0
IMTAS,Senior Data Scientist,"Washington, DC 20001 (Shaw area)",0
Creative Circle,Market Research Analyst,"Washington, DC 20036 (Downtown area)",$20 an hour
Booz Allen Hamilton,OPIR Scientist,"Springfield, VA",0
Capital One,Data Analysis Manager,"McLean, VA",0
Deloitte,Insight Studio Analytics Designer,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",0
Stimson Center,"Research Analyst, Natural Security Forum","Washington, DC",0
PIN Consulting,Connectivity and Communications Team Lead,"Bethesda, MD 20892",0
Invincea,Research Engineer/Scientist – Information Visualization and...,"Arlington, VA",0
MicroHealth LLC,Statistician Intern,"Vienna, VA",$10 an hour
Ironbow Technologies,Ergonomics Research Analyst,"Washington, DC",0
Central Intelligence Agency,Data Scientist,"Washington, DC","$62,338 - $160,300 a year"
Capital One,Sr. Quantitative Analyst - Trade Analytics and Valuation,"McLean, VA",0
ZERO TO THREE,Research Analyst,"Washington, DC",0
Piper Clinical Solutions,Bioinformatics Scientist,"Bethesda, MD","$130,000 a year"
National Opinion Research Center (NORC),Senior Research Analyst - Health Informatics,"Bethesda, MD",0
StreetShares,Sr. Decision Scientist / Sr. Statistician,"Reston, VA",0
ICF,Business/Data Analyst,"Fairfax, VA",0
Inova Personalized Medicine,ITMI SR RS BIOINFOR SCIENTIST,"Falls Church, VA",0
"Quantum Research International, Inc.",Analyst/ Operations Research Officers (OROs),"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",0
Greenwald & Associates,Market Research - Associate/Analyst,"Washington, DC 20008 (Cleveland Park area)",0
Heart Failure Society of America,Administrative Assistant - Non-Profit Association,"Bethesda, MD 20817",0
EXCELLENCE CONSULTING,Research Support Scientist,"College Park, MD",0
EXCELLENCE CONSULTING,Research Scientist - Ensemble Forecasting,"College Park, MD",0
BYK-Gardner USA,"Service Coordinator (data analysis, administrative)","Columbia, MD 21046",0
Oak Ridge Associated Universities,Regulatory Design and Energy Market Analysis,"Washington, DC",0
Centra Technology,Research Analyst,"Washington, DC",0
"ADNET Systems, Inc.",AP061 Instrument Engineer,"Greenbelt, MD 20771",0
National Opinion Research Center (NORC),Senior Business Intelligence Engineer,"Bethesda, MD",0
Capital One,Data Analysis Product Manager,"McLean, VA",0
Capital One,Quantitative Principal Analyst – Model Validation,"McLean, VA",0
General Assembly,Part Time Data Science Instructor,"Washington, DC",0
ASHLIN Management Group,Business Analyst- Marketing and Data Analysis,"Greenbelt, MD 20770",0
xentity corporation,GIS Analyst,"Reston, VA",0
"Integral Consulting Services, Inc.",3032-Junior Operations Research Analyst,"Arlington, VA",0
"University Research Co., LLC.",Maryland Proposals SAMHSA - Senior Statistician/Survey Metho...,"Bethesda, MD 20814",0
CSRA,Oracle DBA/Programmer,"Washington, DC",0
Prescient,Statistical Analyst (SA),"McLean, VA",0
MRIGlobal,Assistant Scientist - Histology - GHSD Biodefense Research,"Gaithersburg, MD",0
AstraZeneca,"Associate Scientist I / Associate Scientist II, Analytical S...","Gaithersburg, MD",0
FRANdata,Junior Research Analyst,"Arlington, VA 22203 (Bluemont area)",0
Engility Corporation,Sr. Operations Research/Data Analyst,"McLean, VA",0
Green Key Resources,Data Analysis Specialist,"Washington, DC",0
ICF,Business Analyst,"Arlington, VA",0
National Opinion Research Center (NORC),Research Analyst - Health Care Research,"Bethesda, MD",0
Leidos,Bioinformatics Analyst III (NCI),"Bethesda, MD 20813",0
AstraZeneca,Principal Statistician,"Gaithersburg, MD",0
QIAGEN,Immunoassay Scientist,"Germantown, MD",0
"Calloway & Associates, Inc.",Research Protocol Specialist,"Bethesda, MD",$34.01 an hour
Google,"Cloud Instructor (Big Data, Machine Learning), Google Cloud...","Washington, DC 20005 (Logan Circle area)",0
Jobspring Partners,Data Scientist,"Washington, DC","$150,000 - $200,000 a year"
IBM,Advanced Analytics Lead Data Scientist - Supply Chain Optimi...,"Washington, DC 20005 (Logan Circle area)",0
Centra Technology,"Quantitative Analyst (Junior, Mid-level, Senior-level)","Washington, DC",0
General Dynamics Information Technology,Data Research Analyst,"Washington, DC",0
IBM Kenexa,Advanced Analytics Lead Data Scientist - Supply Chain Optimi...,"Washington, DC",0
Barone Consulting,Machine Learning - R&D,"Arlington, VA",0
ICF,Data Analyst,"Bethesda, MD",0
Computer Futures,Data Architect- DC Metro- 6 Month C2H,"Washington, DC",$90 - $120 an hour
Vox Media,"VP, Data and Insights","Washington, DC",0
Vanda Pharmaceuticals Inc.,Statistical Analyst,"Washington, DC",0
Capilton Inc.,Research Data Analyst,"Rockville, MD",$25 an hour
Centers for Disease Control and Prevention,Health Scientist,"Washington, DC","$88,305 - $146,570 a year"
U.S. Department of Labor,Recent Graduate Mathematical Statistician,"Washington, DC","$47,962 - $76,262 a year"
Selby Jennings,Associate Data Science,"Washington, DC","$125,000 - $150,000 a year"
Analytic Recruiting,Data Analyst – Junior Data Scientist,"Washington, DC","$70,000 - $85,000 a year"
BitVoyant,Junior Data Scientist,"Rosslyn, VA",0
"Risk Management, Office of",Statistician,"Washington, DC","$81,050 - $104,423 a year"
Salient CRGT,Statistician,"Washington, DC",0
"BigBear, Inc.",Geospatial Data Analyst,"Washington, DC",0
Vencore,Data Engineer,"McLean, VA",0
Vencore,Expert Data Engineer,"McLean, VA",0
Aptima,Data Scientist (Junior) (VA),"Arlington, VA",0
Leidos,Data Engineer,"McLean, VA 22108",0
U.S. Department of Labor,Economist or Statistician,"Washington, DC","$64,650 - $84,044 a year"
"Metron, Inc.",Operations Research Analyst,"Arlington, VA",0
EXCELLENCE CONSULTING,Research Scientist - Vegetation Health Indices,"College Park, MD",0
Exponent,Food Scientist,"Washington, DC 20036 (Downtown area)",0
Patient-Centered Outcomes Research Institute,"Data Analyst, Evaluation and Analysis","Washington, DC 20036 (Downtown area)",0
"Truven Health Analytics, an IBM Company",Research Analyst II - Child and Maternal Health,"Washington, DC",0
Capital One,"Sr. Director, Data Analytics","McLean, VA",0
Booz Allen Hamilton,Database Engineer,"Arlington, VA",0
2M Research Services,Senior Qualitative Research Analyst,"Washington, DC 20006 (Foggy Bottom area)",0
Cushman & Wakefield,Research Analyst,"Bethesda, MD 20814",0
Natural Resources Defense Council,Environmental Justice and Health Science Fellow,"Washington, DC",0
General Dynamics Information Technology,Sr Principal Scientist - Wound Infection Research,"Silver Spring, MD",0
"OMNITEC Solutions, Inc",Scientific Data Analyst / Curator,"Rockville, MD",0
General Dynamics Information Technology,Associate Scientist,"Bethesda, MD",0
Children's National Medical Center,Staff Scientist III,"Washington, DC",0
CNA Corp.,Research Analyst - Operations Research,"Arlington, VA 22201 (Lyon Village area)",0
GWU - ECE Department,Post-Doctoral Scientist,"Washington, DC","$46,000 a year"
University of Maryland,Analyst (Statistician),"College Park, MD",0
i_SW Corp,Mathematician / Statistician,"Arlington, VA",0
Accenture Federal,Data Warehouse/ETL Developer - TS/SCI clearance required,"Springfield, VA",0
EMD,Scientist - Immunoassay,"Rockville, MD",0
Systems Planning and Analysis,Summer Internship/Operations Research Analyst (SSAG),"Alexandria, VA 22311 (Alexandria Wrest area)",0
Penn Schoen Berland,Survey Scientist,"Washington, DC",0
"Elite Technical Services, Inc.",Data Architect and Engineering,"Washington, DC","$120,000 - $190,000 a year"
National Opinion Research Center (NORC),Statistician,"Bethesda, MD",0
EMD,Associate Scientist II,"Rockville, MD",0
3E Company,Regulatory Food Data Analyst,"Bethesda, MD 20814",0
NantWorks,"Research Scientist, Mass Spectrometry","Rockville, MD 20850",0
Delex,Imagery Scientist,"Suitland, MD",0
"The Cadmus Group, Inc.","Research Analyst, Environmental and Climate Change Programs","Bethesda, MD 20814",0
Engility Corporation,Business Financial Analyst,"College Park, MD 20740",0
Capital One,"Product Operations Associate, Capital One Labs","Arlington, VA",0
National Older Worker Career Center,Scientist Support,"Arlington, VA 22203 (Bluemont area)",0
All-In Analytics,Sr. Market Risk Data Scientist,"Washington, DC","$100,000 - $115,000 a year"
OmniEarth,Data Engineer,"Arlington, VA 22202 (Aurora Highlands area)",0
EMD,Associate Scientist - In Vivo Biologics,"Rockville, MD",0
Social & Scientific Systems Inc.,Project Manager (Healthcare Data Analysis),"Silver Spring, MD 20910",0
Mid-Atlantic Permanente Medical Group,Research Data Analyst I,"Rockville, MD",0
Novetta,Computer Scientist,"National Harbor, MD",0
Association of American Medical Colleges,Research & Data Analyst,"Washington, DC 20037 (Foggy Bottom area)",0
CEB,Talent Labs Research Scientist,"Washington, DC",0
CSRA,2017 GRADUATES ONLY! Associate Professional: Science,"Washington, DC",0
AvalonBay Communities,Big Data Engineer,"Arlington, VA",0
General Dynamics Information Technology,Brain Trauma Research Scientist (Neuroscientist) (WRAIR),"Silver Spring, MD",0
"Metron, Inc.",Analyst,"Reston, VA 20190",0
Qbase,PRINCIPAL DATA SCIENCE SOLUTIONS ARCHITECT,"Reston, VA",0
American Association for Cancer Research,Senior Science Policy Analyst,"Washington, DC",0
Mitre Corporation,"Software Engineer, Remote Sensing","McLean, VA",0
LivingSocial,Data Scientist,"Washington, DC",0
CSG Solutions,OSINT Research Analyst - EXPERT,"Washington, DC",0
ProMatcher,Research & Marketing Analyst,"Washington, DC",0
Workbridge Associates,Senior Data Scientist,"Alexandria, VA","$100,000 - $130,000 a year"
Vencore,Image Scientist,"Suitland, MD",0
MicroHealth LLC,Business Development Research Analyst - Entry Level,"Vienna, VA",0
Engility Corporation,Mid-level Operations Research/Data Analyst,"McLean, VA",0
Wood Consulting,Computer Scientist,"Fort Meade, MD",0
General Dynamics Information Technology,Operation Research Analyst,"Arlington, VA 22201 (Lyon Village area)",0
The Advisory Board Company,"Analyst, Talent Development Strategic Research","Washington, DC",0
Michael Baker International,Senior Research Analyst,"Reston, VA",0
Capital One,Senior Machine Learning Data Engineer,"Vienna, VA",0
Centra Technology,China Policy Research Analyst,"Tysons Corner, VA",0
Missing Link Security,Jr. Management Analyst,"Washington, DC",0
"Oceana, INC","Marine Economist, Science & Strategy Division","Washington, DC 20036 (Downtown area)",0
Booz Allen Hamilton,Cyber Research Scientist,"Alexandria, VA",0
ASRC Federal,Junior Scheduler/Planner,"Greenbelt, MD",0
Booz Allen Hamilton,Geospatial Research Scientist,"Alexandria, VA",0
ECS Federal LLC,Scientist-Engineer,"Arlington, VA",0
Deloitte,Federal Mission Analytics Data Scientist - Senior Consultant,"Arlington, VA 22209 (Radnor-Ft Myer Heights area)",0
"Advanced C4 Solutions, Inc. (AC4S)",Statistician/Imagery Science Support Level 1,"Springfield, VA",0
Constellation West,Operations Research Analyst,"Fort Meade, MD 20755",0
Abt Associates,Senior Analyst,"Bethesda, MD 20814",0
BAE Systems,Senior Data Scientist,"Reston, VA 20191",0
Seneca Resources,Sr. Data Scientist,"Arlington, VA",0
Raytheon,Web Based Research Analyst,"Herndon, VA 20170",0
ICF,Subcontracts Administrator,"Fairfax, VA",0
DDL OMNI Engineering,Scientist 6,"Bethesda, MD",0
Genova Technologies,Scientist/Engineer IV (Mission System Software Engineer),"Crystal City, VA",0
Invincea,Research Director - Data Science,"Arlington, VA",0
General Dynamics Information Technology,Sr Princ Intelligence Analyst (Image Scientist) - TS/SCI Req...,"Suitland, MD",0
Universal Health Services,"Manager, Data Analysis Quality Assurance","Washington, DC",0
Resonate,Sr. Data Scientist,"Reston, VA",0
Lockheed Martin,Software Engineer - R&D,"Arlington, VA",0
Engility Corporation,Cost Analyst,"Washington, DC 20376 (Brentwood area)",0
American University,Part-time Research Analyst (7182),"Washington, DC",$15 - $17 an hour
