Company,Job,Location,Salary
"Pharmacyclics, LLC",Senior Statistical Analyst (Biometrics),"Sunnyvale, CA",0
Centrillion,"Scientist II, Product Science","Palo Alto, CA",0
SRI International,Scientist/Senior Scientist-Solid Phase Synthesis & Peptide a...,"Menlo Park, CA 94025",0
Groupon,"Senior Data Scientist, Text Mining","Palo Alto, CA 94306 (Barron Park area)",0
Tetration Analytics,Senior Software Engineer - API,"Palo Alto, CA","$140,000 a year"
"Omnivision Technologies, Inc",Marketing Intelligence Research Analyst,"Santa Clara, CA 95054",0
Apple,"Senior Media Research Analyst, Apple Ad Platforms","Santa Clara Valley, CA",0
Gilead,Research Scientist I- HBV Discovery Virology,"Foster City, CA",0
Samsung,Sr. Technical Product Manager - Big Data,"Mountain View, CA",0
Keysight Technologies,Mixed-Signal/Digital IC Researcher,"Santa Clara, CA",0
DJI,Deep Learning Computer Vision and Machine Perception Enginee...,"Palo Alto, CA",0
DuPont,"Process Technician II/III, Analytical","Palo Alto, CA",0
Natera,"Application Scientist, Bioinformatics","San Carlos, CA 94070",0
Google,"Quantitative Analyst Intern, Summer 2017","Mountain View, CA",0
CloudMedx Inc,"Research Scientist, Deep Learning","Palo Alto, CA 94301 (Professorville area)",0
Google,Developer Programs Engineer (Machine Learning),"Mountain View, CA",0
TARGET,Lead Data Scientist,"Sunnyvale, CA",0
Jobspring Partners,Data Scientist- NLP/Machine Learning experience,"San Jose, CA 95113 (Downtown area)","$150,000 - $180,000 a year"
Yahoo! Inc.,Research Scientist - Advertising and Forecasting,"Sunnyvale, CA",0
Catalina Marketing,"Sr. Analyst, Data Science","San Jose, CA",0
"Cisco Systems, Inc.",Software Engineer- Big Data,"San Jose, CA",0
Boehringer Ingelheim,"Scientist, Analytical Science","Fremont, CA",0
All-In Analytics,Head of Machine Learning Big Data,"Palo Alto, CA",0
TrialPay,Senior Data Scientist,"Mountain View, CA",0
Carnegie Institution,Mass Spectrometry Scientist,"Stanford, CA",0
SLAC National Accelerator Laboratory,Research Associate – Experimental,"Menlo Park, CA",0
Adobe,Computer Scientist--Creative SDK,"San Jose, CA",0
Ayasdi,Technical Writer,"Menlo Park, CA 94025",0
Electronic Arts,"Sr. Manager, Data Science","Redwood City, CA 94065",0
Adobe,Senior Data Scientist,"San Jose, CA",0
Elti Solutions,Machine Learning Engineer,"Palo Alto, CA",0
ON Semiconductor,"Scientist, Device Engineer","San Jose, CA",0
Exponent,Associate/Scientist,"Menlo Park, CA 94025",0
Google,"Quantitative Business Analyst, YouTube","San Bruno, CA",0
BMW of North America LLC,Highly Automated Driving Machine Learning Intern,"Mountain View, CA",0
Workbridge Associates,Data Scientist,"Menlo Park, CA","$100,000 - $200,000 a year"
Facebook,"Technical Program Manager, Ads Machine Learning","Menlo Park, CA",0
Huawei,Machine Learning Scientist,"Santa Clara, CA",0
Natero,Machine Learning Engineer,"Mountain View, CA 94040",0
Google,"Software Engineer (Machine Learning), Industry Solutions","Mountain View, CA",0
Bosch,Autonomous Driving Machine Learning Engineer,"Palo Alto, CA",0
Hikvision USA Inc.,Research Scientist--Computer Vision & Machine Learning,"Santa Clara, CA",0
Amazon Corporate LLC,"AI Research Engineer, Alexa Artificial Intelligence","Sunnyvale, CA",0
A9.com,Software Development Internship – Machine Learning (Summer 2...,"Palo Alto, CA",0
"Hitachi America, Ltd.","Research Scientist, Healthcare","Santa Clara, CA 95054",0
"Hitachi America, Ltd.","Research Scientist, Machine Learning","Santa Clara, CA 95054",0
SLAC National Accelerator Laboratory,Research Support Intern,"Menlo Park, CA",0
Thermo Fisher Scientific,Scientist II,"Fremont, CA 94538 (Irvington area)",0
Visa,Research Scientist - Security,"Foster City, CA",0
Ford Motor Company,Automated Driving Research Intern – Machine Learning Embedde...,"Palo Alto, CA",0
TEEMA Solutions Group Inc.,Machine Learning Engineer,"Mountain View, CA","$150,000 - $200,000 a year"
"Integrated DNA Technologies, Inc",Bioinformatics Staff Scientist,"Redwood City, CA",0
Google,"Software Engineer, Computer Graphics, Daydream","Mountain View, CA",0
Centrillion,Lab Technician - Special Projects,"Palo Alto, CA",0
Human API,Machine Learning Engineer,"Redwood City, CA",0
Yahoo! Inc.,Research Scientist - Click Modeling,"Sunnyvale, CA",0
Virtual Instruments,Senior/Staff Software Engineer - Big Data Analytics,"San Jose, CA 95110 (Downtown area)",0
Wyle Laboratories,"Sr. Operations Specialist (Mountain View, CA)","Moffett Field, CA",0
Instart Logic,Software Engineer: Core Application Security,"Palo Alto, CA 94306 (Barron Park area)",0
Apple,"Sr Software Engineer, Applied Machine Learning","Santa Clara Valley, CA",0
Roche,"Clinical Laboratory Assistant II, Sequencing","San Jose, CA",0
Recruit Institute of Technology,Software Engineer - Machine Learning/Natural Language Proces...,"Mountain View, CA",0
Sigmaways,Sr. Data Scientist,"Palo Alto, CA",0
Phoenix Bioinformatics,Bioinformatician,"Redwood City, CA",0
"Spyglass Partners, LLC",Machine Learning & Computer Vision Scientist,"Sunnyvale, CA 94085",0
BioInspire Technologies,Senior Scientist/Engineer,"Palo Alto, CA 94303 (Duveneck-Saint Francis area)",0
Facebook,"Quantitative Researcher, Growth","Menlo Park, CA",0
